Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Mon Dec  1 00:30:12 2025
| Host         : mymelody running 64-bit Ubuntu 22.04.5 LTS
| Command      : report_utilization -hierarchical -file hier_util.txt
| Design       : system_top
| Device       : xc7z010clg225-1
| Speed File   : -1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+----------------------------------------------------------------------------------+---------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|                                     Instance                                     |                                      Module                                     | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
+----------------------------------------------------------------------------------+---------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
| system_top                                                                       |                                                                           (top) |      14131 |      13509 |     550 |   72 | 20623 |      2 |      4 |         20 |
|   (system_top)                                                                   |                                                                           (top) |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|   i_system_wrapper                                                               |                                                                  system_wrapper |      14131 |      13509 |     550 |   72 | 20623 |      2 |      4 |         20 |
|     (i_system_wrapper)                                                           |                                                                  system_wrapper |          2 |          2 |       0 |    0 |     0 |      0 |      0 |          0 |
|     system_i                                                                     |                                                                          system |      14130 |      13508 |     550 |   72 | 20623 |      2 |      4 |         20 |
|       (system_i)                                                                 |                                                                          system |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|       axi_ad9361                                                                 |                                                             system_axi_ad9361_0 |       1974 |       1974 |       0 |    0 |  3196 |      0 |      0 |          0 |
|         inst                                                                     |                                                  system_axi_ad9361_0_axi_ad9361 |       1974 |       1974 |       0 |    0 |  3196 |      0 |      0 |          0 |
|           (inst)                                                                 |                                                  system_axi_ad9361_0_axi_ad9361 |          0 |          0 |       0 |    0 |    59 |      0 |      0 |          0 |
|           i_dev_if                                                               |                                          system_axi_ad9361_0_axi_ad9361_cmos_if |        129 |        129 |       0 |    0 |   181 |      0 |      0 |          0 |
|             (i_dev_if)                                                           |                                          system_axi_ad9361_0_axi_ad9361_cmos_if |         67 |         67 |       0 |    0 |   181 |      0 |      0 |          0 |
|             g_rx_data[0].i_rx_data                                               |                                                  system_axi_ad9361_0_ad_data_in |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_rx_data[10].i_rx_data                                              |                                               system_axi_ad9361_0_ad_data_in_41 |          8 |          8 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_rx_data[11].i_rx_data                                              |                                               system_axi_ad9361_0_ad_data_in_42 |         12 |         12 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_rx_data[1].i_rx_data                                               |                                               system_axi_ad9361_0_ad_data_in_43 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_rx_data[2].i_rx_data                                               |                                               system_axi_ad9361_0_ad_data_in_44 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_rx_data[3].i_rx_data                                               |                                               system_axi_ad9361_0_ad_data_in_45 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_rx_data[4].i_rx_data                                               |                                               system_axi_ad9361_0_ad_data_in_46 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_rx_data[5].i_rx_data                                               |                                               system_axi_ad9361_0_ad_data_in_47 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_rx_data[6].i_rx_data                                               |                                               system_axi_ad9361_0_ad_data_in_48 |          7 |          7 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_rx_data[7].i_rx_data                                               |                                               system_axi_ad9361_0_ad_data_in_49 |         13 |         13 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_rx_data[8].i_rx_data                                               |                                               system_axi_ad9361_0_ad_data_in_50 |          5 |          5 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_rx_data[9].i_rx_data                                               |                                               system_axi_ad9361_0_ad_data_in_51 |          8 |          8 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_tx_data[0].i_tx_data                                               |                                                 system_axi_ad9361_0_ad_data_out |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_tx_data[10].i_tx_data                                              |                                              system_axi_ad9361_0_ad_data_out_52 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_tx_data[11].i_tx_data                                              |                                              system_axi_ad9361_0_ad_data_out_53 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_tx_data[1].i_tx_data                                               |                                              system_axi_ad9361_0_ad_data_out_54 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_tx_data[2].i_tx_data                                               |                                              system_axi_ad9361_0_ad_data_out_55 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_tx_data[3].i_tx_data                                               |                                              system_axi_ad9361_0_ad_data_out_56 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_tx_data[4].i_tx_data                                               |                                              system_axi_ad9361_0_ad_data_out_57 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_tx_data[5].i_tx_data                                               |                                              system_axi_ad9361_0_ad_data_out_58 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_tx_data[6].i_tx_data                                               |                                              system_axi_ad9361_0_ad_data_out_59 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_tx_data[7].i_tx_data                                               |                                              system_axi_ad9361_0_ad_data_out_60 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_tx_data[8].i_tx_data                                               |                                              system_axi_ad9361_0_ad_data_out_61 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             g_tx_data[9].i_tx_data                                               |                                              system_axi_ad9361_0_ad_data_out_62 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             i_clk                                                                |                                                 system_axi_ad9361_0_ad_data_clk |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             i_enable                                                             |                                              system_axi_ad9361_0_ad_data_out_63 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             i_rx_frame                                                           |                                  system_axi_ad9361_0_ad_data_in__parameterized0 |         10 |         10 |       0 |    0 |     0 |      0 |      0 |          0 |
|             i_tx_clk                                                             |                                              system_axi_ad9361_0_ad_data_out_64 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             i_tx_frame                                                           |                                              system_axi_ad9361_0_ad_data_out_65 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|             i_txnrx                                                              |                                              system_axi_ad9361_0_ad_data_out_66 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|           i_rx                                                                   |                                               system_axi_ad9361_0_axi_ad9361_rx |        699 |        699 |       0 |    0 |  1518 |      0 |      0 |          0 |
|             (i_rx)                                                               |                                               system_axi_ad9361_0_axi_ad9361_rx |         60 |         60 |       0 |    0 |    36 |      0 |      0 |          0 |
|             i_delay_cntrl                                                        |                                              system_axi_ad9361_0_up_delay_cntrl |          6 |          6 |       0 |    0 |    96 |      0 |      0 |          0 |
|               (i_delay_cntrl)                                                    |                                              system_axi_ad9361_0_up_delay_cntrl |          6 |          6 |       0 |    0 |    91 |      0 |      0 |          0 |
|               i_delay_rst_reg                                                    |                                           system_axi_ad9361_0_ad_rst__xdcDup__1 |          0 |          0 |       0 |    0 |     5 |      0 |      0 |          0 |
|             i_rx_channel_0                                                       |                                       system_axi_ad9361_0_axi_ad9361_rx_channel |        148 |        148 |       0 |    0 |   252 |      0 |      0 |          0 |
|               i_ad_datafmt                                                       |                                               system_axi_ad9361_0_ad_datafmt_34 |          0 |          0 |       0 |    0 |    13 |      0 |      0 |          0 |
|               i_rx_pnmon                                                         |                                         system_axi_ad9361_0_axi_ad9361_rx_pnmon |         61 |         61 |       0 |    0 |   137 |      0 |      0 |          0 |
|                 (i_rx_pnmon)                                                     |                                         system_axi_ad9361_0_axi_ad9361_rx_pnmon |          2 |          2 |       0 |    0 |   128 |      0 |      0 |          0 |
|                 i_pnmon                                                          |                                                 system_axi_ad9361_0_ad_pnmon_36 |         59 |         59 |       0 |    0 |     9 |      0 |      0 |          0 |
|               i_up_adc_channel                                                   |                                              system_axi_ad9361_0_up_adc_channel |         87 |         87 |       0 |    0 |   102 |      0 |      0 |          0 |
|                 (i_up_adc_channel)                                               |                                              system_axi_ad9361_0_up_adc_channel |          5 |          5 |       0 |    0 |    44 |      0 |      0 |          0 |
|                 i_xfer_cntrl                                                     |                                    system_axi_ad9361_0_up_xfer_cntrl__xdcDup__1 |         71 |         71 |       0 |    0 |    38 |      0 |      0 |          0 |
|                 i_xfer_status                                                    |                                   system_axi_ad9361_0_up_xfer_status__xdcDup__1 |         11 |         11 |       0 |    0 |    20 |      0 |      0 |          0 |
|             i_rx_channel_1                                                       |                       system_axi_ad9361_0_axi_ad9361_rx_channel__parameterized0 |        141 |        141 |       0 |    0 |   277 |      0 |      0 |          0 |
|               i_ad_datafmt                                                       |                                               system_axi_ad9361_0_ad_datafmt_27 |          0 |          0 |       0 |    0 |     9 |      0 |      0 |          0 |
|               i_rx_pnmon                                                         |                         system_axi_ad9361_0_axi_ad9361_rx_pnmon__parameterized0 |         59 |         59 |       0 |    0 |   168 |      0 |      0 |          0 |
|                 (i_rx_pnmon)                                                     |                         system_axi_ad9361_0_axi_ad9361_rx_pnmon__parameterized0 |          2 |          2 |       0 |    0 |   159 |      0 |      0 |          0 |
|                 i_pnmon                                                          |                                                 system_axi_ad9361_0_ad_pnmon_29 |         57 |         57 |       0 |    0 |     9 |      0 |      0 |          0 |
|               i_up_adc_channel                                                   |                              system_axi_ad9361_0_up_adc_channel__parameterized0 |         82 |         82 |       0 |    0 |   100 |      0 |      0 |          0 |
|                 (i_up_adc_channel)                                               |                              system_axi_ad9361_0_up_adc_channel__parameterized0 |          5 |          5 |       0 |    0 |    44 |      0 |      0 |          0 |
|                 i_xfer_cntrl                                                     |                                    system_axi_ad9361_0_up_xfer_cntrl__xdcDup__2 |         66 |         66 |       0 |    0 |    36 |      0 |      0 |          0 |
|                 i_xfer_status                                                    |                                   system_axi_ad9361_0_up_xfer_status__xdcDup__2 |         11 |         11 |       0 |    0 |    20 |      0 |      0 |          0 |
|             i_rx_channel_2                                                       |                       system_axi_ad9361_0_axi_ad9361_rx_channel__parameterized1 |        129 |        129 |       0 |    0 |   250 |      0 |      0 |          0 |
|               i_rx_pnmon                                                         |                         system_axi_ad9361_0_axi_ad9361_rx_pnmon__parameterized1 |         59 |         59 |       0 |    0 |   168 |      0 |      0 |          0 |
|                 (i_rx_pnmon)                                                     |                         system_axi_ad9361_0_axi_ad9361_rx_pnmon__parameterized1 |          2 |          2 |       0 |    0 |   159 |      0 |      0 |          0 |
|                 i_pnmon                                                          |                                                 system_axi_ad9361_0_ad_pnmon_22 |         57 |         57 |       0 |    0 |     9 |      0 |      0 |          0 |
|               i_up_adc_channel                                                   |                              system_axi_ad9361_0_up_adc_channel__parameterized1 |         70 |         70 |       0 |    0 |    82 |      0 |      0 |          0 |
|                 (i_up_adc_channel)                                               |                              system_axi_ad9361_0_up_adc_channel__parameterized1 |          3 |          3 |       0 |    0 |    40 |      0 |      0 |          0 |
|                 i_xfer_cntrl                                                     |                                    system_axi_ad9361_0_up_xfer_cntrl__xdcDup__3 |         56 |         56 |       0 |    0 |    22 |      0 |      0 |          0 |
|                 i_xfer_status                                                    |                                   system_axi_ad9361_0_up_xfer_status__xdcDup__3 |         11 |         11 |       0 |    0 |    20 |      0 |      0 |          0 |
|             i_rx_channel_3                                                       |                       system_axi_ad9361_0_axi_ad9361_rx_channel__parameterized2 |        138 |        138 |       0 |    0 |   218 |      0 |      0 |          0 |
|               i_rx_pnmon                                                         |                         system_axi_ad9361_0_axi_ad9361_rx_pnmon__parameterized2 |         66 |         66 |       0 |    0 |   136 |      0 |      0 |          0 |
|                 (i_rx_pnmon)                                                     |                         system_axi_ad9361_0_axi_ad9361_rx_pnmon__parameterized2 |          2 |          2 |       0 |    0 |   127 |      0 |      0 |          0 |
|                 i_pnmon                                                          |                                                    system_axi_ad9361_0_ad_pnmon |         64 |         64 |       0 |    0 |     9 |      0 |      0 |          0 |
|               i_up_adc_channel                                                   |                              system_axi_ad9361_0_up_adc_channel__parameterized2 |         72 |         72 |       0 |    0 |    82 |      0 |      0 |          0 |
|                 (i_up_adc_channel)                                               |                              system_axi_ad9361_0_up_adc_channel__parameterized2 |          4 |          4 |       0 |    0 |    40 |      0 |      0 |          0 |
|                 i_xfer_cntrl                                                     |                                               system_axi_ad9361_0_up_xfer_cntrl |         57 |         57 |       0 |    0 |    22 |      0 |      0 |          0 |
|                 i_xfer_status                                                    |                                              system_axi_ad9361_0_up_xfer_status |         11 |         11 |       0 |    0 |    20 |      0 |      0 |          0 |
|             i_up_adc_common                                                      |                                               system_axi_ad9361_0_up_adc_common |         78 |         78 |       0 |    0 |   389 |      0 |      0 |          0 |
|               (i_up_adc_common)                                                  |                                               system_axi_ad9361_0_up_adc_common |         17 |         17 |       0 |    0 |   257 |      0 |      0 |          0 |
|               i_clock_mon                                                        |                                     system_axi_ad9361_0_up_clock_mon__xdcDup__1 |         41 |         41 |       0 |    0 |    88 |      0 |      0 |          0 |
|               i_core_rst_reg                                                     |                                           system_axi_ad9361_0_ad_rst__xdcDup__2 |          0 |          0 |       0 |    0 |     5 |      0 |      0 |          0 |
|               i_xfer_cntrl                                                       |                               system_axi_ad9361_0_up_xfer_cntrl__parameterized0 |          9 |          9 |       0 |    0 |    19 |      0 |      0 |          0 |
|               i_xfer_status                                                      |                              system_axi_ad9361_0_up_xfer_status__parameterized0 |         11 |         11 |       0 |    0 |    20 |      0 |      0 |          0 |
|           i_tx                                                                   |                                               system_axi_ad9361_0_axi_ad9361_tx |        388 |        388 |       0 |    0 |  1285 |      0 |      0 |          0 |
|             (i_tx)                                                               |                                               system_axi_ad9361_0_axi_ad9361_tx |         53 |         53 |       0 |    0 |    54 |      0 |      0 |          0 |
|             i_tx_channel_0                                                       |                                       system_axi_ad9361_0_axi_ad9361_tx_channel |         65 |         65 |       0 |    0 |   222 |      0 |      0 |          0 |
|               (i_tx_channel_0)                                                   |                                       system_axi_ad9361_0_axi_ad9361_tx_channel |         22 |         22 |       0 |    0 |    74 |      0 |      0 |          0 |
|               i_up_dac_channel                                                   |                                              system_axi_ad9361_0_up_dac_channel |         43 |         43 |       0 |    0 |   148 |      0 |      0 |          0 |
|                 (i_up_dac_channel)                                               |                                              system_axi_ad9361_0_up_dac_channel |          3 |          3 |       0 |    0 |    78 |      0 |      0 |          0 |
|                 i_xfer_cntrl                                                     |                    system_axi_ad9361_0_up_xfer_cntrl__parameterized1__xdcDup__1 |         40 |         40 |       0 |    0 |    70 |      0 |      0 |          0 |
|             i_tx_channel_1                                                       |                       system_axi_ad9361_0_axi_ad9361_tx_channel__parameterized0 |         64 |         64 |       0 |    0 |   221 |      0 |      0 |          0 |
|               (i_tx_channel_1)                                                   |                       system_axi_ad9361_0_axi_ad9361_tx_channel__parameterized0 |         21 |         21 |       0 |    0 |    73 |      0 |      0 |          0 |
|               i_up_dac_channel                                                   |                              system_axi_ad9361_0_up_dac_channel__parameterized0 |         43 |         43 |       0 |    0 |   148 |      0 |      0 |          0 |
|                 (i_up_dac_channel)                                               |                              system_axi_ad9361_0_up_dac_channel__parameterized0 |          3 |          3 |       0 |    0 |    78 |      0 |      0 |          0 |
|                 i_xfer_cntrl                                                     |                    system_axi_ad9361_0_up_xfer_cntrl__parameterized1__xdcDup__2 |         40 |         40 |       0 |    0 |    70 |      0 |      0 |          0 |
|             i_tx_channel_2                                                       |                       system_axi_ad9361_0_axi_ad9361_tx_channel__parameterized1 |         63 |         63 |       0 |    0 |   221 |      0 |      0 |          0 |
|               (i_tx_channel_2)                                                   |                       system_axi_ad9361_0_axi_ad9361_tx_channel__parameterized1 |         21 |         21 |       0 |    0 |    73 |      0 |      0 |          0 |
|               i_up_dac_channel                                                   |                              system_axi_ad9361_0_up_dac_channel__parameterized1 |         42 |         42 |       0 |    0 |   148 |      0 |      0 |          0 |
|                 (i_up_dac_channel)                                               |                              system_axi_ad9361_0_up_dac_channel__parameterized1 |          3 |          3 |       0 |    0 |    78 |      0 |      0 |          0 |
|                 i_xfer_cntrl                                                     |                    system_axi_ad9361_0_up_xfer_cntrl__parameterized1__xdcDup__3 |         39 |         39 |       0 |    0 |    70 |      0 |      0 |          0 |
|             i_tx_channel_3                                                       |                       system_axi_ad9361_0_axi_ad9361_tx_channel__parameterized2 |         65 |         65 |       0 |    0 |   221 |      0 |      0 |          0 |
|               (i_tx_channel_3)                                                   |                       system_axi_ad9361_0_axi_ad9361_tx_channel__parameterized2 |         23 |         23 |       0 |    0 |    73 |      0 |      0 |          0 |
|               i_up_dac_channel                                                   |                              system_axi_ad9361_0_up_dac_channel__parameterized2 |         42 |         42 |       0 |    0 |   148 |      0 |      0 |          0 |
|                 (i_up_dac_channel)                                               |                              system_axi_ad9361_0_up_dac_channel__parameterized2 |          3 |          3 |       0 |    0 |    78 |      0 |      0 |          0 |
|                 i_xfer_cntrl                                                     |                               system_axi_ad9361_0_up_xfer_cntrl__parameterized1 |         39 |         39 |       0 |    0 |    70 |      0 |      0 |          0 |
|             i_up_dac_common                                                      |                                               system_axi_ad9361_0_up_dac_common |         96 |         96 |       0 |    0 |   346 |      0 |      0 |          0 |
|               (i_up_dac_common)                                                  |                                               system_axi_ad9361_0_up_dac_common |         16 |         16 |       0 |    0 |   178 |      0 |      0 |          0 |
|               i_clock_mon                                                        |                                                system_axi_ad9361_0_up_clock_mon |         42 |         42 |       0 |    0 |    88 |      0 |      0 |          0 |
|               i_core_rst_reg                                                     |                                           system_axi_ad9361_0_ad_rst__xdcDup__4 |          0 |          0 |       0 |    0 |     5 |      0 |      0 |          0 |
|               i_xfer_cntrl                                                       |                               system_axi_ad9361_0_up_xfer_cntrl__parameterized2 |         29 |         29 |       0 |    0 |    55 |      0 |      0 |          0 |
|               i_xfer_status                                                      |                              system_axi_ad9361_0_up_xfer_status__parameterized1 |         10 |         10 |       0 |    0 |    20 |      0 |      0 |          0 |
|           i_up_axi                                                               |                                                      system_axi_ad9361_0_up_axi |        760 |        760 |       0 |    0 |   153 |      0 |      0 |          0 |
|       axi_ad9361_adc_dma                                                         |                                                     system_axi_ad9361_adc_dma_0 |        487 |        453 |      34 |    0 |   727 |      1 |      0 |          0 |
|         (axi_ad9361_adc_dma)                                                     |                                                     system_axi_ad9361_adc_dma_0 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |          0 |
|         inst                                                                     |                                            system_axi_ad9361_adc_dma_0_axi_dmac |        487 |        453 |      34 |    0 |   727 |      1 |      0 |          0 |
|           i_regmap                                                               |                                     system_axi_ad9361_adc_dma_0_axi_dmac_regmap |        276 |        258 |      18 |    0 |   330 |      0 |      0 |          0 |
|             (i_regmap)                                                           |                                     system_axi_ad9361_adc_dma_0_axi_dmac_regmap |          2 |          2 |       0 |    0 |    73 |      0 |      0 |          0 |
|             i_regmap_request                                                     |                             system_axi_ad9361_adc_dma_0_axi_dmac_regmap_request |         63 |         45 |      18 |    0 |   122 |      0 |      0 |          0 |
|               (i_regmap_request)                                                 |                             system_axi_ad9361_adc_dma_0_axi_dmac_regmap_request |         33 |         33 |       0 |    0 |    89 |      0 |      0 |          0 |
|               i_transfer_lenghts_fifo                                            |                                      system_axi_ad9361_adc_dma_0_util_axis_fifo |         30 |         12 |      18 |    0 |    33 |      0 |      0 |          0 |
|                 (i_transfer_lenghts_fifo)                                        |                                      system_axi_ad9361_adc_dma_0_util_axis_fifo |         20 |          2 |      18 |    0 |    27 |      0 |      0 |          0 |
|                 fifo.i_address_gray                                              |                    system_axi_ad9361_adc_dma_0_util_axis_fifo_address_generator |         10 |         10 |       0 |    0 |     6 |      0 |      0 |          0 |
|             i_up_axi                                                             |                                              system_axi_ad9361_adc_dma_0_up_axi |        212 |        212 |       0 |    0 |   135 |      0 |      0 |          0 |
|           i_transfer                                                             |                                   system_axi_ad9361_adc_dma_0_axi_dmac_transfer |        211 |        195 |      16 |    0 |   397 |      1 |      0 |          0 |
|             i_request_arb                                                        |                                         system_axi_ad9361_adc_dma_0_request_arb |        201 |        185 |      16 |    0 |   360 |      1 |      0 |          0 |
|               (i_request_arb)                                                    |                                         system_axi_ad9361_adc_dma_0_request_arb |          6 |          0 |       6 |    0 |    32 |      0 |      0 |          0 |
|               i_dest_dma_mm                                                      |                                         system_axi_ad9361_adc_dma_0_dest_axi_mm |         43 |         37 |       6 |    0 |    49 |      0 |      0 |          0 |
|                 (i_dest_dma_mm)                                                  |                                         system_axi_ad9361_adc_dma_0_dest_axi_mm |          6 |          0 |       6 |    0 |     0 |      0 |      0 |          0 |
|                 i_addr_gen                                                       |                                   system_axi_ad9361_adc_dma_0_address_generator |         32 |         32 |       0 |    0 |    44 |      0 |      0 |          0 |
|                 i_response_handler                                               |                                    system_axi_ad9361_adc_dma_0_response_handler |          5 |          5 |       0 |    0 |     5 |      0 |      0 |          0 |
|               i_dest_req_fifo                                                    |                      system_axi_ad9361_adc_dma_0_util_axis_fifo__parameterized2 |          3 |          3 |       0 |    0 |    32 |      0 |      0 |          0 |
|                 (i_dest_req_fifo)                                                |                      system_axi_ad9361_adc_dma_0_util_axis_fifo__parameterized2 |          0 |          0 |       0 |    0 |    28 |      0 |      0 |          0 |
|                 zerodeep.i_raddr_sync                                            |                system_axi_ad9361_adc_dma_0_sync_bits__parameterized0__xdcDup__1 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |          0 |
|                 zerodeep.i_waddr_sync                                            |                system_axi_ad9361_adc_dma_0_sync_bits__parameterized0__xdcDup__2 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|               i_req_gen                                                          |                                   system_axi_ad9361_adc_dma_0_request_generator |         57 |         57 |       0 |    0 |    52 |      0 |      0 |          0 |
|               i_response_manager                                                 |                           system_axi_ad9361_adc_dma_0_axi_dmac_response_manager |         23 |         23 |       0 |    0 |    34 |      0 |      0 |          0 |
|                 (i_response_manager)                                             |                           system_axi_ad9361_adc_dma_0_axi_dmac_response_manager |         14 |         14 |       0 |    0 |    25 |      0 |      0 |          0 |
|                 i_dest_response_fifo                                             |                      system_axi_ad9361_adc_dma_0_util_axis_fifo__parameterized4 |          9 |          9 |       0 |    0 |     9 |      0 |      0 |          0 |
|               i_rewind_req_fifo                                                  |                      system_axi_ad9361_adc_dma_0_util_axis_fifo__parameterized1 |          3 |          3 |       0 |    0 |    13 |      0 |      0 |          0 |
|                 (i_rewind_req_fifo)                                              |                      system_axi_ad9361_adc_dma_0_util_axis_fifo__parameterized1 |          0 |          0 |       0 |    0 |     9 |      0 |      0 |          0 |
|                 zerodeep.i_raddr_sync                                            |                system_axi_ad9361_adc_dma_0_sync_bits__parameterized0__xdcDup__3 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |          0 |
|                 zerodeep.i_waddr_sync                                            |                system_axi_ad9361_adc_dma_0_sync_bits__parameterized0__xdcDup__4 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|               i_src_dest_bl_fifo                                                 |                      system_axi_ad9361_adc_dma_0_util_axis_fifo__parameterized0 |          3 |          3 |       0 |    0 |    10 |      0 |      0 |          0 |
|                 (i_src_dest_bl_fifo)                                             |                      system_axi_ad9361_adc_dma_0_util_axis_fifo__parameterized0 |          0 |          0 |       0 |    0 |     6 |      0 |      0 |          0 |
|                 zerodeep.i_raddr_sync                                            |                system_axi_ad9361_adc_dma_0_sync_bits__parameterized0__xdcDup__5 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|                 zerodeep.i_waddr_sync                                            |                system_axi_ad9361_adc_dma_0_sync_bits__parameterized0__xdcDup__6 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |          0 |
|               i_src_dma_stream                                                   |                                      system_axi_ad9361_adc_dma_0_src_axi_stream |         28 |         28 |       0 |    0 |    32 |      0 |      0 |          0 |
|                 i_data_mover                                                     |                                          system_axi_ad9361_adc_dma_0_data_mover |         28 |         28 |       0 |    0 |    32 |      0 |      0 |          0 |
|               i_src_req_fifo                                                     |                      system_axi_ad9361_adc_dma_0_util_axis_fifo__parameterized3 |          2 |          2 |       0 |    0 |    39 |      0 |      0 |          0 |
|                 (i_src_req_fifo)                                                 |                      system_axi_ad9361_adc_dma_0_util_axis_fifo__parameterized3 |          1 |          1 |       0 |    0 |    35 |      0 |      0 |          0 |
|                 zerodeep.i_raddr_sync                                            |                system_axi_ad9361_adc_dma_0_sync_bits__parameterized0__xdcDup__7 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|                 zerodeep.i_waddr_sync                                            |                system_axi_ad9361_adc_dma_0_sync_bits__parameterized0__xdcDup__8 |          0 |          0 |       0 |    0 |     2 |      0 |      0 |          0 |
|               i_store_and_forward                                                |                               system_axi_ad9361_adc_dma_0_axi_dmac_burst_memory |         28 |         24 |       4 |    0 |    51 |      1 |      0 |          0 |
|                 (i_store_and_forward)                                            |                               system_axi_ad9361_adc_dma_0_axi_dmac_burst_memory |         24 |         20 |       4 |    0 |    35 |      0 |      0 |          0 |
|                 i_dest_sync_id                                                   |                system_axi_ad9361_adc_dma_0_sync_bits__parameterized2__xdcDup__1 |          2 |          2 |       0 |    0 |     8 |      0 |      0 |          0 |
|                 i_mem                                                            |                                         system_axi_ad9361_adc_dma_0_ad_mem_asym |          1 |          1 |       0 |    0 |     0 |      1 |      0 |          0 |
|                 i_src_sync_id                                                    |                system_axi_ad9361_adc_dma_0_sync_bits__parameterized2__xdcDup__2 |          2 |          2 |       0 |    0 |     8 |      0 |      0 |          0 |
|               i_sync_src_request_id                                              |                           system_axi_ad9361_adc_dma_0_sync_bits__parameterized2 |          2 |          2 |       0 |    0 |     8 |      0 |      0 |          0 |
|               sync_rewind                                                        |                                          system_axi_ad9361_adc_dma_0_sync_event |          3 |          3 |       0 |    0 |     8 |      0 |      0 |          0 |
|                 (sync_rewind)                                                    |                                          system_axi_ad9361_adc_dma_0_sync_event |          1 |          1 |       0 |    0 |     4 |      0 |      0 |          0 |
