Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
----------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Nov 30 20:41:18 2025
| Host         : mymelody running 64-bit Ubuntu 22.04.5 LTS
| Command      : report_utilization -cells [get_cells -hierarchical *msk_top*] -hierarchical -file util_msk.txt
| Design       : system_top
| Device       : xc7z010clg225-1
| Speed File   : -1
| Design State : Synthesized
----------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------+-----------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|             Instance            |                     Module                    | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
+---------------------------------+-----------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
| msk_top                         |                              system_msk_top_0 |      13507 |      12993 |     514 |    0 | 14765 |      0 |      4 |         20 |
|   msk_top                       |                              system_msk_top_0 |      11674 |      11160 |     514 |    0 | 13147 |      0 |      4 |         20 |
|     (msk_top)                   |                              system_msk_top_0 |          0 |          0 |       0 |    0 |     0 |      0 |      2 |          0 |
|     U0                          |                      system_msk_top_0_msk_top |      11674 |      11160 |     514 |    0 | 13147 |      0 |      2 |         20 |
|       (U0)                      |                      system_msk_top_0_msk_top |         33 |         33 |       0 |    0 |    86 |      0 |      0 |          0 |
|       u_async_fifo              |           system_msk_top_0_axis_async_fifo__1 |        365 |        141 |     224 |    0 |   127 |      0 |      0 |          0 |
|       u_dem                     |              system_msk_top_0_msk_demodulator |       2215 |       2215 |       0 |    0 |  1130 |      0 |      0 |         16 |
|         (u_dem)                 |              system_msk_top_0_msk_demodulator |         65 |         65 |       0 |    0 |    82 |      0 |      0 |          4 |
|         U_f1                    |                  system_msk_top_0_costas_loop |       1068 |       1068 |       0 |    0 |   524 |      0 |      0 |          6 |
|           (U_f1)                |                  system_msk_top_0_costas_loop |        329 |        329 |       0 |    0 |   280 |      0 |      0 |          2 |
|           U_carrier_nco         |       system_msk_top_0_nco__parameterized1_56 |        111 |        111 |       0 |    0 |   114 |      0 |      0 |          0 |
|           U_carrier_sin_cos_lut |               system_msk_top_0_sin_cos_lut_57 |        275 |        275 |       0 |    0 |     0 |      0 |      0 |          0 |
|           u_loopfilter          |             system_msk_top_0_pi_controller_58 |        353 |        353 |       0 |    0 |   130 |      0 |      0 |          4 |
|         U_f2                    |               system_msk_top_0_costas_loop_55 |       1082 |       1082 |       0 |    0 |   524 |      0 |      0 |          6 |
|           (U_f2)                |               system_msk_top_0_costas_loop_55 |        346 |        346 |       0 |    0 |   280 |      0 |      0 |          2 |
|           U_carrier_nco         |          system_msk_top_0_nco__parameterized1 |        111 |        111 |       0 |    0 |   114 |      0 |      0 |          0 |
|           U_carrier_sin_cos_lut |                  system_msk_top_0_sin_cos_lut |        278 |        278 |       0 |    0 |     0 |      0 |      0 |          0 |
|           u_loopfilter          |                system_msk_top_0_pi_controller |        347 |        347 |       0 |    0 |   130 |      0 |      0 |          4 |
|       u_deserializer            |     system_msk_top_0_byte_to_bit_deserializer |         24 |         24 |       0 |    0 |    20 |      0 |      0 |          0 |
|       u_mod                     |                system_msk_top_0_msk_modulator |        306 |        306 |       0 |    0 |   398 |      0 |      0 |          0 |
|         (u_mod)                 |                system_msk_top_0_msk_modulator |        176 |        176 |       0 |    0 |   203 |      0 |      0 |          0 |
|         U_f1_nco                |          system_msk_top_0_nco__parameterized0 |         32 |         32 |       0 |    0 |    64 |      0 |      0 |          0 |
|         U_f2_nco                |       system_msk_top_0_nco__parameterized0_54 |         32 |         32 |       0 |    0 |    64 |      0 |      0 |          0 |
|         U_tclk_nco              |                          system_msk_top_0_nco |         66 |         66 |       0 |    0 |    67 |      0 |      0 |          0 |
|       u_msk_top_csr             |                  system_msk_top_0_msk_top_csr |       2348 |       2348 |       0 |    0 |  1618 |      0 |      0 |          0 |
|         (u_msk_top_csr)         |                  system_msk_top_0_msk_top_csr |          9 |          9 |       0 |    0 |     2 |      0 |      0 |          0 |
|         u01s                    |                   system_msk_top_0_cdc_resync |          0 |          0 |       0 |    0 |     2 |      0 |      0 |          0 |
|         u02s                    |                 system_msk_top_0_cdc_resync_0 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |          0 |
|         u03s                    |                 system_msk_top_0_cdc_resync_1 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |          0 |
|         u04s                    |                 system_msk_top_0_cdc_resync_2 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
